Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
office365dev,chenxizhang,《Office 365 开发入门指南》，本书已经于2018年9月份由北京大学出版社上市发行，可以通过 http://product.dangdang.com/25347066.html 进行购买。配套视频教程于2019年2月在网易云课堂上架，你可以通过 https://aka.ms/office365devlesson 参加学习，教程相关的参考资料、范例代码、相关链接，请访问 https://github.com/chenxizhang/office365dev/tree/master/lessons,https://github.com/chenxizhang/office365dev,JavaScript,2017-02-26T06:08:21Z,2024-07-19T09:26:34Z,279,99,0,MIT License
powerbi-powershell,Azure-Samples,Samples for calling the Power BI REST API via PowerShell,https://github.com/Azure-Samples/powerbi-powershell,PowerShell,2017-06-20T20:36:06Z,2024-09-09T12:58:24Z,257,190,34,MIT License
powerbiadoption,pbiaf,Power BI Adoption Framework,https://github.com/pbiaf/powerbiadoption,,2019-11-07T14:31:37Z,2024-09-19T15:58:54Z,233,66,4,No License
PowerBIRESTAPI,migueesc123,A Microsoft Power BI Data Connector or Power Query Connector for the Power BI REST API,https://github.com/migueesc123/PowerBIRESTAPI,,2017-06-24T07:06:59Z,2024-09-18T00:47:30Z,232,73,7,MIT License
PowerBI-ThemeTemplates,MattRudy,JSON Templates for assembling Power BI Themes,https://github.com/MattRudy/PowerBI-ThemeTemplates,,2021-10-14T22:17:19Z,2024-09-14T14:42:34Z,225,80,74,The Unlicense
FlowViz,nbrown02,"A Power BI template that provides easy to understand, actionable flow metrics and predictive analytics for your agile teams using Azure DevOps, Azure DevOps Server and/or TFS.",https://github.com/nbrown02/FlowViz,,2018-06-04T06:45:38Z,2024-09-28T01:40:57Z,201,48,1,MIT License
WEFFLES,jepayneMSFT,"Build a fast, free, and effective Threat Hunting/Incident Response Console with Windows Event Forwarding and PowerBI",https://github.com/jepayneMSFT/WEFFLES,PowerShell,2016-07-27T22:12:14Z,2024-08-12T19:24:02Z,200,33,4,No License
MDE-PowerBI-Templates,microsoft,A respository for MDATP PowerBI Templates,https://github.com/microsoft/MDE-PowerBI-Templates,PowerShell,2019-04-02T22:01:05Z,2024-08-21T22:04:46Z,196,122,25,MIT License
keras,keras-team,Deep Learning for humans,https://github.com/keras-team/keras,Python,2015-03-28T00:35:42Z,2024-10-03T14:47:22Z,61701,19426,250,Apache License 2.0
annotated_deep_learning_paper_implementations,labmlai,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,2020-08-25T02:29:34Z,2024-10-03T14:53:07Z,54461,5622,29,MIT License
DeepLearning-500-questions,scutan90,深度学习500问，以问答形式对常用的概率知识、线性代数、机器学习、深度学习、计算机视觉等热点问题进行阐述，以帮助自己及有需要的读者。 全书分为18个章节，50余万字。由于水平有限，书中不妥之处恳请广大读者批评指正。   未完待续............ 如有意合作，联系scutjy2015@163.com                     版权所有，违权必究       Tan 2018.06,https://github.com/scutan90/DeepLearning-500-questions,JavaScript,2018-06-27T06:36:45Z,2024-10-03T10:41:03Z,54349,15834,118,GNU General Public License v3.0
Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,2016-10-14T11:49:48Z,2024-10-03T12:43:55Z,38007,7302,88,No License
deeplearningbook-chinese,exacity,Deep Learning Book Chinese Translation,https://github.com/exacity/deeplearningbook-chinese,TeX,2016-12-07T11:46:51Z,2024-10-03T12:59:58Z,35666,9122,67,No License
DeepSpeed,microsoft,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",https://github.com/microsoft/DeepSpeed,Python,2020-01-23T18:35:18Z,2024-10-03T08:41:56Z,34965,4060,1117,Apache License 2.0
TTS,coqui-ai,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",https://github.com/coqui-ai/TTS,Python,2020-05-20T15:45:28Z,2024-10-03T14:37:33Z,34273,4151,78,Mozilla Public License 2.0
caffe,BVLC,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,C++,2013-09-12T18:39:48Z,2024-10-03T14:35:57Z,34058,18696,1187,Other
pytorch-tutorial,yunjey,PyTorch Tutorial for Deep Learning Researchers,https://github.com/yunjey/pytorch-tutorial,Python,2017-03-10T07:41:47Z,2024-10-03T10:59:22Z,29921,8097,86,MIT License
handson-ml2,ageron,"A series of Jupyter notebooks that walk you through the fundamentals of Machine Learning and Deep Learning in Python using Scikit-Learn, Keras and TensorFlow 2.",https://github.com/ageron/handson-ml2,Jupyter Notebook,2019-01-08T03:49:07Z,2024-10-03T13:20:31Z,27806,12739,220,Apache License 2.0
netron,lutzroeder,"Visualizer for neural network, deep learning and machine learning models",https://github.com/lutzroeder/netron,JavaScript,2010-12-26T12:53:43Z,2024-10-03T13:52:26Z,27750,2756,24,MIT License
data-science-ipython-notebooks,donnemartin,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines.",https://github.com/donnemartin/data-science-ipython-notebooks,Python,2015-01-23T19:38:29Z,2024-10-03T14:47:21Z,27246,7847,39,Other
tuning_playbook,google-research,A playbook for systematically maximizing the performance of deep learning models.,https://github.com/google-research/tuning_playbook,,2023-01-18T23:32:32Z,2024-10-03T14:11:36Z,26625,2209,8,Other
fastai,fastai,The fastai deep learning library,https://github.com/fastai/fastai,Jupyter Notebook,2017-09-09T17:43:36Z,2024-10-03T11:11:15Z,26172,7549,227,Apache License 2.0
awesome-deep-learning-papers,terryum,The most cited deep learning papers,https://github.com/terryum/awesome-deep-learning-papers,TeX,2016-06-03T06:48:30Z,2024-10-03T02:56:08Z,25416,4478,35,No License
ML-From-Scratch,eriklindernoren,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,https://github.com/eriklindernoren/ML-From-Scratch,Python,2017-02-05T12:11:23Z,2024-10-03T10:01:06Z,23876,4584,51,MIT License
awesome-deep-learning,ChristosChristofidis,"A curated list of awesome Deep Learning tutorials, projects and communities.",https://github.com/ChristosChristofidis/awesome-deep-learning,,2015-01-02T19:28:35Z,2024-10-03T13:46:27Z,23759,6026,36,No License
d2l-en,d2l-ai,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge.",https://github.com/d2l-ai/d2l-en,Python,2018-10-09T01:04:37Z,2024-10-03T14:32:50Z,23337,4286,139,Other
deep-learning-for-image-processing,WZMIAOMIAO,deep learning for image processing including classification and object-detection etc.,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,Python,2019-11-14T15:02:27Z,2024-10-03T11:46:19Z,22589,7931,87,GNU General Public License v3.0
Paddle,PaddlePaddle,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,https://github.com/PaddlePaddle/Paddle,C++,2016-08-15T06:59:08Z,2024-10-03T11:58:54Z,22120,5553,1735,Apache License 2.0
mxnet,apache,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",https://github.com/apache/mxnet,C++,2015-04-30T16:21:15Z,2024-09-26T13:00:20Z,20772,6794,2010,Apache License 2.0
audiocraft,facebookresearch,"Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / tokenizer, along with MusicGen, a simple and controllable music generation LM with textual and melodic conditioning.",https://github.com/facebookresearch/audiocraft,Python,2023-06-08T06:41:36Z,2024-10-03T01:46:25Z,20695,2109,295,MIT License
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,500 AI Machine learning Deep learning Computer vision NLP Projects with code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,,2021-01-02T12:08:37Z,2024-10-03T14:47:42Z,19837,5066,41,No License
deep-learning-with-python-notebooks,fchollet,"Jupyter notebooks for the code samples of the book ""Deep Learning with Python""",https://github.com/fchollet/deep-learning-with-python-notebooks,Jupyter Notebook,2017-09-05T19:47:56Z,2024-10-03T14:09:36Z,18583,8630,177,MIT License
Dive-into-DL-PyTorch,ShusenTang,本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。,https://github.com/ShusenTang/Dive-into-DL-PyTorch,Jupyter Notebook,2019-02-21T03:45:20Z,2024-10-03T12:22:04Z,18246,5382,78,Apache License 2.0
DeOldify,jantic,A Deep Learning based project for colorizing and restoring old images (and video!),https://github.com/jantic/DeOldify,Python,2018-10-31T23:32:34Z,2024-10-03T07:02:35Z,17972,2559,7,MIT License
CNTK,microsoft,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",https://github.com/microsoft/CNTK,C++,2015-11-26T09:52:06Z,2024-10-02T20:13:14Z,17506,4284,840,Other
nndl.github.io,nndl,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning ,https://github.com/nndl/nndl.github.io,HTML,2016-09-06T08:09:06Z,2024-10-02T18:41:08Z,17375,3578,83,No License
ml-agents,Unity-Technologies,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,https://github.com/Unity-Technologies/ml-agents,C#,2017-09-08T21:09:04Z,2024-10-03T11:52:41Z,16987,4147,44,Other
deeplearning-models,rasbt,"A collection of various deep learning architectures, models, and tips",https://github.com/rasbt/deeplearning-models,Jupyter Notebook,2019-06-05T16:08:20Z,2024-10-03T06:37:18Z,16638,3997,5,MIT License
Made-With-ML,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/Made-With-ML,Jupyter Notebook,2018-11-05T03:44:27Z,2024-10-03T14:47:47Z,37172,5889,20,MIT License
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,Python,2015-04-13T18:04:58Z,2024-10-03T14:19:27Z,36543,14149,1176,Apache License 2.0
vllm,vllm-project,A high-throughput and memory-efficient inference and serving engine for LLMs,https://github.com/vllm-project/vllm,Python,2023-02-09T11:23:20Z,2024-10-03T13:31:58Z,27767,4102,2055,Apache License 2.0
jina,jina-ai,☁️ Build multimodal AI applications with cloud-native stack,https://github.com/jina-ai/jina,Python,2020-02-13T17:04:44Z,2024-10-03T14:47:37Z,21001,2216,22,Apache License 2.0
qdrant,qdrant,"Qdrant - High-performance, massive-scale Vector Database for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",https://github.com/qdrant/qdrant,Rust,2020-05-30T21:37:01Z,2024-10-03T14:48:13Z,20012,1354,308,Apache License 2.0
label-studio,HumanSignal,Label Studio is a multi-type data labeling and annotation tool with standardized output format,https://github.com/HumanSignal/label-studio,JavaScript,2019-06-19T02:00:44Z,2024-10-03T11:20:08Z,18422,2314,846,Apache License 2.0
awesome-production-machine-learning,EthicalML,"A curated list of awesome open source libraries to deploy, monitor, version and scale your machine learning",https://github.com/EthicalML/awesome-production-machine-learning,,2018-08-15T14:28:41Z,2024-10-03T10:48:20Z,17402,2227,7,MIT License
argo-workflows,argoproj,Workflow Engine for Kubernetes,https://github.com/argoproj/argo-workflows,Go,2017-08-21T18:50:44Z,2024-10-03T13:02:09Z,14923,3179,1103,Apache License 2.0
nni,microsoft,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",https://github.com/microsoft/nni,Python,2018-06-01T05:51:44Z,2024-10-03T02:10:10Z,14001,1809,417,MIT License
awesome-mlops,visenger,A curated list of references for MLOps ,https://github.com/visenger/awesome-mlops,,2020-03-03T11:37:19Z,2024-10-03T12:48:22Z,12526,1882,8,No License
taipy,Avaiga,Turns Data and AI algorithms into production-ready web applications in no time.,https://github.com/Avaiga/taipy,Python,2022-02-18T15:55:45Z,2024-10-03T14:52:38Z,12212,897,141,Apache License 2.0
dagster,dagster-io,"An orchestration platform for the development, production, and observation of data assets.",https://github.com/dagster-io/dagster,Python,2018-04-30T16:30:04Z,2024-10-03T13:58:36Z,11275,1422,2643,Apache License 2.0
ml-engineering,stas00,Machine Learning Engineering Open Book,https://github.com/stas00/ml-engineering,Python,2020-09-02T19:23:01Z,2024-10-03T11:46:53Z,11095,664,2,Creative Commons Attribution Share Alike 4.0 International
mlops-zoomcamp,DataTalksClub,Free MLOps course from DataTalks.Club,https://github.com/DataTalksClub/mlops-zoomcamp,Jupyter Notebook,2021-10-21T09:35:28Z,2024-10-03T13:42:19Z,11031,2119,5,No License
weaviate,weaviate,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.",https://github.com/weaviate/weaviate,Go,2016-03-30T15:03:17Z,2024-10-03T14:46:07Z,11000,758,596,"BSD 3-Clause ""New"" or ""Revised"" License"
amazon-sagemaker-examples,aws,"Example 📓 Jupyter notebooks that demonstrate how to build, train, and deploy machine learning models using 🧠 Amazon SageMaker. ",https://github.com/aws/amazon-sagemaker-examples,Jupyter Notebook,2017-10-23T05:55:22Z,2024-10-03T01:35:26Z,10036,6751,814,Apache License 2.0
kedro,kedro-org,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",https://github.com/kedro-org/kedro,Python,2019-04-18T10:29:56Z,2024-10-03T12:52:43Z,9880,893,290,Apache License 2.0
great_expectations,great-expectations,Always know what to expect from your data.,https://github.com/great-expectations/great_expectations,Python,2017-09-11T00:18:46Z,2024-10-03T11:17:05Z,9867,1525,43,Apache License 2.0
OpenLLM,bentoml,"Run any open-source LLMs, such as Llama 3.1, Gemma, as OpenAI compatible API endpoint in the cloud.",https://github.com/bentoml/OpenLLM,Python,2023-04-19T00:27:52Z,2024-10-03T13:02:14Z,9821,626,23,Apache License 2.0
machine-learning-systems-design,chiphuyen,"A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems""",https://github.com/chiphuyen/machine-learning-systems-design,HTML,2019-11-24T23:16:28Z,2024-10-03T09:09:38Z,8974,1415,10,No License
wandb,wandb,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.",https://github.com/wandb/wandb,Python,2017-03-24T05:46:23Z,2024-10-03T14:37:32Z,8952,658,1017,MIT License
